Usuario,Ordenador,ID,Tipo de sesión,Grupo,Inicio,Final,Duración,Moneda,Tarifa,Facturación,Notas
"MDC - CAD/CAM","Sin nombre","1387385106","Control remoto","Dispositivos sin nombre","2025-09-22 16:39","2025-09-22 16:40","2","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1752665370","Control remoto","Dispositivos sin nombre","2025-09-22 16:33","2025-09-22 16:43","10","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","810831203","Control remoto","Dispositivos sin nombre","2025-09-22 16:12","2025-09-22 16:28","16","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1387385106","Control remoto","Dispositivos sin nombre","2025-09-22 16:12","2025-09-22 16:28","17","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1704862743","Control remoto","Dispositivos sin nombre","2025-09-22 16:07","2025-09-22 16:09","2","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1704862743","Control remoto","Dispositivos sin nombre","2025-09-22 15:26","2025-09-22 16:06","41","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-22 12:46","2025-09-22 15:36","170","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-22 12:11","2025-09-22 12:29","19","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1078923502","Control remoto","Dispositivos sin nombre","2025-09-22 11:46","2025-09-22 12:13","28","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1041027050","Control remoto","Dispositivos sin nombre","2025-09-22 11:41","2025-09-22 11:45","4","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","238061819","Control remoto","Dispositivos sin nombre","2025-09-22 11:20","2025-09-22 13:08","108","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","413708683","Control remoto","Dispositivos sin nombre","2025-09-22 10:46","2025-09-22 11:05","20","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","413708683","Control remoto","Dispositivos sin nombre","2025-09-22 10:37","2025-09-22 10:42","6","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","637578801","Control remoto","Dispositivos sin nombre","2025-09-22 10:27","2025-09-22 11:20","54","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1851381575","Control remoto","Dispositivos sin nombre","2025-09-22 09:41","2025-09-22 13:24","223","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","211214249","Control remoto","Dispositivos sin nombre","2025-09-22 09:35","2025-09-22 12:43","188","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","731921228","Control remoto","Dispositivos sin nombre","2025-09-22 09:33","2025-09-22 10:26","53","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","332296190","Control remoto","Dispositivos sin nombre","2025-09-22 09:31","2025-09-22 11:09","99","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","332296190","Control remoto","Dispositivos sin nombre","2025-09-19 17:40","2025-09-19 17:55","15","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","642388553","Control remoto","Dispositivos sin nombre","2025-09-19 17:16","2025-09-19 17:21","6","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","332296190","Control remoto","Dispositivos sin nombre","2025-09-19 17:09","2025-09-19 17:30","21","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","332296190","Control remoto","Dispositivos sin nombre","2025-09-19 17:05","2025-09-19 17:09","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","642388553","Control remoto","Dispositivos sin nombre","2025-09-19 16:35","2025-09-19 17:02","27","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1224733574","Control remoto","Dispositivos sin nombre","2025-09-19 15:43","2025-09-19 16:49","67","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","642388553","Control remoto","Dispositivos sin nombre","2025-09-19 15:29","2025-09-19 16:21","52","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1851381575","Control remoto","Dispositivos sin nombre","2025-09-19 14:29","2025-09-19 17:55","207","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","299586319","Control remoto","Dispositivos sin nombre","2025-09-19 13:54","2025-09-19 14:03","9","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1704862743","Control remoto","Dispositivos sin nombre","2025-09-19 13:45","2025-09-19 13:47","3","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1851381575","Control remoto","Dispositivos sin nombre","2025-09-19 13:42","2025-09-19 13:57","16","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","788410756","Control remoto","Dispositivos sin nombre","2025-09-19 13:29","2025-09-19 13:36","7","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","791961516","Control remoto","Dispositivos sin nombre","2025-09-19 13:10","2025-09-19 13:21","11","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","788410756","Control remoto","Dispositivos sin nombre","2025-09-19 12:58","2025-09-19 13:29","31","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1704862743","Control remoto","Dispositivos sin nombre","2025-09-19 12:13","2025-09-19 12:15","3","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","788410756","Control remoto","Dispositivos sin nombre","2025-09-19 11:59","2025-09-19 12:55","56","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1117050866","Control remoto","Dispositivos sin nombre","2025-09-19 10:45","2025-09-19 18:15","451","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","902409462","Control remoto","Dispositivos sin nombre","2025-09-19 09:22","2025-09-19 17:27","486","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-18 16:45","2025-09-18 18:15","91","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","297632834","Control remoto","Dispositivos sin nombre","2025-09-18 16:15","2025-09-18 18:15","120","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1041027050","Control remoto","Dispositivos sin nombre","2025-09-18 13:54","2025-09-18 14:24","31","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1094975721","Control remoto","Dispositivos sin nombre","2025-09-18 13:45","2025-09-18 14:44","59","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1851381575","Control remoto","Dispositivos sin nombre","2025-09-18 13:30","2025-09-18 18:15","286","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1347826534","Control remoto","Dispositivos sin nombre","2025-09-18 12:17","2025-09-18 13:13","57","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1288372571","Control remoto","Dispositivos sin nombre","2025-09-18 12:08","2025-09-18 12:53","45","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1288372571","Control remoto","Dispositivos sin nombre","2025-09-18 10:52","2025-09-18 12:04","73","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1094975721","Control remoto","Dispositivos sin nombre","2025-09-17 20:29","2025-09-17 20:36","7","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1094975721","Control remoto","Dispositivos sin nombre","2025-09-17 20:27","2025-09-17 20:28","1","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","382394530","Control remoto","Dispositivos sin nombre","2025-09-17 17:57","2025-09-17 18:00","3","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1094975721","Control remoto","Dispositivos sin nombre","2025-09-17 17:07","2025-09-17 18:01","55","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","382394530","Control remoto","Dispositivos sin nombre","2025-09-17 16:38","2025-09-17 17:05","28","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-17 15:37","2025-09-17 17:51","135","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1193352397","Control remoto","Dispositivos sin nombre","2025-09-17 15:13","2025-09-17 18:14","182","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","528288615","Control remoto","Dispositivos sin nombre","2025-09-17 14:51","2025-09-17 18:16","205","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-17 12:58","2025-09-17 15:36","158","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","771430814","Control remoto","Dispositivos sin nombre","2025-09-17 12:52","2025-09-17 13:40","49","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","771430814","Control remoto","Dispositivos sin nombre","2025-09-17 12:45","2025-09-17 12:51","7","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-17 12:02","2025-09-17 12:07","5","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-17 11:24","2025-09-17 12:01","37","None","0,00","Factura",""
"MDC - CAD/CAM","Gamer","1678763520","Control remoto","MDC","2025-09-17 11:24","2025-09-17 11:35","12","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","575823200","Control remoto","Dispositivos sin nombre","2025-09-17 11:05","2025-09-17 11:21","16","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-17 10:56","2025-09-17 11:21","25","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-17 10:42","2025-09-17 10:49","8","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","343938809","Control remoto","Dispositivos sin nombre","2025-09-15 15:49","2025-09-15 16:35","46","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","343938809","Control remoto","Dispositivos sin nombre","2025-09-15 15:47","2025-09-15 15:48","2","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-15 14:42","2025-09-15 15:33","52","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","575823200","Control remoto","Dispositivos sin nombre","2025-09-15 14:27","2025-09-15 16:27","120","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","683617845","Control remoto","Dispositivos sin nombre","2025-09-15 14:24","2025-09-15 14:37","14","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","718824312","Control remoto","Dispositivos sin nombre","2025-09-15 13:06","2025-09-15 15:53","167","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1193352397","Control remoto","Dispositivos sin nombre","2025-09-15 12:54","2025-09-15 13:00","7","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","1643579493","Control remoto","Dispositivos sin nombre","2025-09-15 12:48","2025-09-15 13:08","20","None","0,00","Factura",""
"MDC - CAD/CAM","Sin nombre","339006689","Control remoto","Dispositivos sin nombre","2025-09-15 12:39","2025-09-15 12:46","8","None","0,00","Factura",""
